Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1622573586882,01/06/2021 18:53:06,1622573586822,1,01/06/2021 19:53:06,53470,3,questionnaire-uqlw,,13184438,5f0232204e80ca0cc7d9d20c,3968653,,complete,,60b681f8aa8800ece3235540,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1920x1080,1920x937,,demog,7,No,BEGIN QUESTIONNAIRE,
2,1622573605212,01/06/2021 18:53:25,1622573605217,1,01/06/2021 19:53:25,53470,3,questionnaire-uqlw,,13184438,5f0232204e80ca0cc7d9d20c,3968653,,complete,,60b681f8aa8800ece3235540,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1920x1080,1920x937,,demog,7,No,Sex,Male
3,1622573605382,01/06/2021 18:53:25,1622573605218,1,01/06/2021 19:53:25,53470,3,questionnaire-uqlw,,13184438,5f0232204e80ca0cc7d9d20c,3968653,,complete,,60b681f8aa8800ece3235540,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1920x1080,1920x937,,demog,7,No,Sex-quantised,2
4,1622573605382,01/06/2021 18:53:25,1622573605218,1,01/06/2021 19:53:25,53470,3,questionnaire-uqlw,,13184438,5f0232204e80ca0cc7d9d20c,3968653,,complete,,60b681f8aa8800ece3235540,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1920x1080,1920x937,,demog,7,No,Age,18-24
5,1622573605382,01/06/2021 18:53:25,1622573605218,1,01/06/2021 19:53:25,53470,3,questionnaire-uqlw,,13184438,5f0232204e80ca0cc7d9d20c,3968653,,complete,,60b681f8aa8800ece3235540,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1920x1080,1920x937,,demog,7,No,Age-quantised,1
6,1622573605382,01/06/2021 18:53:25,1622573605218,1,01/06/2021 19:53:25,53470,3,questionnaire-uqlw,,13184438,5f0232204e80ca0cc7d9d20c,3968653,,complete,,60b681f8aa8800ece3235540,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1920x1080,1920x937,,demog,7,No,field,Biomedical Science
7,1622573605382,01/06/2021 18:53:25,1622573605218,1,01/06/2021 19:53:25,53470,3,questionnaire-uqlw,,13184438,5f0232204e80ca0cc7d9d20c,3968653,,complete,,60b681f8aa8800ece3235540,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1920x1080,1920x937,,demog,7,No,Ed_level,undergraduate/Bachelors
8,1622573605382,01/06/2021 18:53:25,1622573605218,1,01/06/2021 19:53:25,53470,3,questionnaire-uqlw,,13184438,5f0232204e80ca0cc7d9d20c,3968653,,complete,,60b681f8aa8800ece3235540,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1920x1080,1920x937,,demog,7,No,Ed_level-quantised,2
9,1622573605382,01/06/2021 18:53:25,1622573605219,1,01/06/2021 19:53:25,53470,3,questionnaire-uqlw,,13184438,5f0232204e80ca0cc7d9d20c,3968653,,complete,,60b681f8aa8800ece3235540,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1920x1080,1920x937,,demog,7,No,END QUESTIONNAIRE,18397
1,1622575330675,01/06/2021 19:22:10,1622575340310,1,01/06/2021 20:22:20,53470,3,questionnaire-uqlw,,13185146,5fc8de2b9481262c0fa5c5eb,3968816,,complete,,60b688d09161b1a96595126a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1504x1003,1504x870,,demog,7,No,BEGIN QUESTIONNAIRE,
