Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1622623230301,02/06/2021 08:40:30,1622623230203,1,02/06/2021 09:40:30,53470,4,questionnaire-uqlw,,13194333,60b511b9b6143f5c2914a36c,3971089,,complete,,60b743e760049c148b007bdc,computer,Desktop or Laptop,Chromium OS 13816.82.0,Chrome 90.0.4430.218,1366x768,1366x617,,demog,7,No,BEGIN QUESTIONNAIRE,
2,1622623255772,02/06/2021 08:40:55,1622623255727,1,02/06/2021 09:40:55,53470,4,questionnaire-uqlw,,13194333,60b511b9b6143f5c2914a36c,3971089,,complete,,60b743e760049c148b007bdc,computer,Desktop or Laptop,Chromium OS 13816.82.0,Chrome 90.0.4430.218,1366x768,1366x617,,demog,7,No,Sex,Female
3,1622623255851,02/06/2021 08:40:55,1622623255730,1,02/06/2021 09:40:55,53470,4,questionnaire-uqlw,,13194333,60b511b9b6143f5c2914a36c,3971089,,complete,,60b743e760049c148b007bdc,computer,Desktop or Laptop,Chromium OS 13816.82.0,Chrome 90.0.4430.218,1366x768,1366x617,,demog,7,No,Sex-quantised,1
4,1622623255851,02/06/2021 08:40:55,1622623255731,1,02/06/2021 09:40:55,53470,4,questionnaire-uqlw,,13194333,60b511b9b6143f5c2914a36c,3971089,,complete,,60b743e760049c148b007bdc,computer,Desktop or Laptop,Chromium OS 13816.82.0,Chrome 90.0.4430.218,1366x768,1366x617,,demog,7,No,Age,18-24
5,1622623255851,02/06/2021 08:40:55,1622623255731,1,02/06/2021 09:40:55,53470,4,questionnaire-uqlw,,13194333,60b511b9b6143f5c2914a36c,3971089,,complete,,60b743e760049c148b007bdc,computer,Desktop or Laptop,Chromium OS 13816.82.0,Chrome 90.0.4430.218,1366x768,1366x617,,demog,7,No,Age-quantised,1
6,1622623255851,02/06/2021 08:40:55,1622623255731,1,02/06/2021 09:40:55,53470,4,questionnaire-uqlw,,13194333,60b511b9b6143f5c2914a36c,3971089,,complete,,60b743e760049c148b007bdc,computer,Desktop or Laptop,Chromium OS 13816.82.0,Chrome 90.0.4430.218,1366x768,1366x617,,demog,7,No,field,Neuroscience
7,1622623255851,02/06/2021 08:40:55,1622623255732,1,02/06/2021 09:40:55,53470,4,questionnaire-uqlw,,13194333,60b511b9b6143f5c2914a36c,3971089,,complete,,60b743e760049c148b007bdc,computer,Desktop or Laptop,Chromium OS 13816.82.0,Chrome 90.0.4430.218,1366x768,1366x617,,demog,7,No,Ed_level,less than undergraduate/Bachelors
8,1622623255851,02/06/2021 08:40:55,1622623255732,1,02/06/2021 09:40:55,53470,4,questionnaire-uqlw,,13194333,60b511b9b6143f5c2914a36c,3971089,,complete,,60b743e760049c148b007bdc,computer,Desktop or Laptop,Chromium OS 13816.82.0,Chrome 90.0.4430.218,1366x768,1366x617,,demog,7,No,Ed_level-quantised,1
9,1622623255851,02/06/2021 08:40:55,1622623255732,1,02/06/2021 09:40:55,53470,4,questionnaire-uqlw,,13194333,60b511b9b6143f5c2914a36c,3971089,,complete,,60b743e760049c148b007bdc,computer,Desktop or Laptop,Chromium OS 13816.82.0,Chrome 90.0.4430.218,1366x768,1366x617,,demog,7,No,END QUESTIONNAIRE,25530
1,1622624036224,02/06/2021 08:53:56,1622624033741,1,02/06/2021 09:53:53,53470,4,questionnaire-uqlw,,13194745,5d6794cb0942ff00162345bb,3971184,,complete,,60b747102281c67a6c47b3a4,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1280x720,1600x732,,demog,7,No,BEGIN QUESTIONNAIRE,
